id,statement,statement_originator,model,fact1,fact1_label,fact2,fact2_label,fact3,fact3_label,chosen_fact,chosen_fact_label,chosen_fact_score,statement_verification_label,statement_verification_justification,original_true_false
271,Says a photo shows Donald Trump kissing Ivanka Trump on the lips.,Viral image,mistralai/Mistral-7B-Instruct-v0.2,Photo shows Donald Trump and Ivanka Trump together,medium,Photo shows Donald Trump and Ivanka Trump in a close proximity,medium,Photo shows Donald Trump kissing Ivanka Trump on the lips,high,Photo shows Donald Trump kissing Ivanka Trump on the lips,high,100,Verified,Image shows the depicted action,False
272,"""In the 1990s, the Biden Crime Bill added 100,000 cops to America's streets. As a result, murder and violent crime rates went down eight years in a row.""",Joe Biden,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,False
273,"""The death rate for fully vaccinated people is significantly higher than non-vaccinated [people].""",Instagram posts,mistralai/Mistral-7B-Instruct-v0.2,The death rate for fully vaccinated people is higher than non-vaccinated people,high,The statement implies that the death rate for fully vaccinated people is significantly higher,high,The statement does not specify the time frame or the population being compared,low,The death rate for fully vaccinated people is higher than non-vaccinated people,high,100,Likely false,Multiple studies have shown that vaccination significantly reduces the risk of death from COVID-19.,False
274,"""NATO hasn't provided enough troops (in Afghanistan) because they are still angry about us going into Iraq.""",Barack Obama,mistralai/Mistral-7B-Instruct-v0.2,NATO has not provided enough troops in Afghanistan,high,NATO is still angry about the U.S. going into Iraq,medium,The lack of troops provided by NATO in Afghanistan is due to their anger about the U.S. going into Iraq,high,NATO has not provided enough troops in Afghanistan,high,100,Verified,Statement aligns with fact1,True
275,"""The last major oil spill from a drilling accident in America happened over 40 years ago in 1969.""",Eric Johnson,mistralai/Mistral-7B-Instruct-v0.2,The last major oil spill from a drilling accident in America,high,The oil spill happened over 40 years ago,high,The oil spill occurred in 1969,high,The last major oil spill from a drilling accident in America,high,100,Verified,Historical record confirms the 1969 Santa Barbara oil spill as the last major oil spill from a drilling accident in America.,False
276,"""Most research shows that (UW salaries) are a little behind, and (in) some areas we're behind more than others.""",Ray Cross,mistralai/Mistral-7B-Instruct-v0.2,UW salaries are a little behind,medium,"In some areas, UW salaries are behind more than others",medium,The research shows this,high,The research shows this,high,60,Verified,Ray Cross's statement aligns with the research he refers to.,True
277,"""Adolf Hitler confiscated all the weapons — took all the weapons, had a registry of everybody — and then on the night of June 30, 1934, sent out his secret police and murdered all of his political opponents.""",David Simmons,mistralai/Mistral-7B-Instruct-v0.2,Adolf Hitler confiscated all the weapons,high,had a registry of everybody,medium,"sent out his secret police and murdered all of his political opponents on the night of June 30, 1934",high,Adolf Hitler confiscated all the weapons,high,100,Verified,Historically documented,False
278,"Algeria ""wanted to be taken off of the terror list"" at the time it made an unreported donation to the Clinton Foundation.",Joe Scarborough,mistralai/Mistral-7B-Instruct-v0.2,Algeria made an unreported donation to the Clinton Foundation.,high,Algeria wanted to be taken off of the terror list.,medium,The timing of the donation and the request to be taken off the terror list is unclear.,low,Algeria made an unreported donation to the Clinton Foundation.,high,100,Uncertain,"The statement implies a causal relationship between the donation and the request to be taken off the terror list, which is not directly supported by the provided information.",False
279,Georgia has saved $20 million through changes in criminal sentencing.,Nathan Deal,mistralai/Mistral-7B-Instruct-v0.2,Georgia has made changes in criminal sentencing,high,Georgia has saved $20 million,high,The savings are due to changes in criminal sentencing,medium,Georgia has made changes in criminal sentencing,high,100,Verified,Statement aligns with provided fact,True
280,"A facial recognition firm ""confirmed antifa infiltrated the Trump rally in D.C.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,A facial recognition firm made a claim about antifa infiltrating a Trump rally in D.C.,high,The claim was made about antifa infiltrating a Trump rally in D.C.,high,The location of the alleged infiltration was D.C.,medium,A facial recognition firm made a claim about antifa infiltrating a Trump rally in D.C.,high,100,Uncertain,No evidence provided to support the claim.,False
281,"""Semi-automatic weapons, whether pistol or rifle, were designed for use by the military on the battlefield.""",Providence City Council,mistralai/Mistral-7B-Instruct-v0.2,Semi-automatic weapons were designed for use by the military on the battlefield.,high,Semi-automatic weapons can be pistols or rifles.,medium,The Providence City Council made a statement about semi-automatic weapons.,low,Semi-automatic weapons were designed for use by the military on the battlefield.,high,100,Verified,The statement accurately reflects the intended use of semi-automatic weapons.,False
282,"Obama has admitted a cap and trade plan would cause electricity bills to ""skyrocket.""",Sarah Palin,mistralai/Mistral-7B-Instruct-v0.2,Obama has proposed a cap and trade plan,high,Obama's cap and trade plan would affect electricity bills,medium,Electricity bills would skyrocket under Obama's cap and trade plan,medium,Obama has proposed a cap and trade plan,high,60,Verified,Sarah Palin's statement aligns with the proposed impact of cap and trade on electricity prices.,True
283,"""We know that every 85 visitors create one Florida job.""",Rick Scott,mistralai/Mistral-7B-Instruct-v0.2,Every 85 visitors create one Florida job,high,Number of visitors required to create one Florida job,high,The statement was made by Rick Scott,low,Every 85 visitors create one Florida job,high,100,Uncertain,The claim lacks supporting evidence and may not accurately represent the economic impact of tourism on job creation.,True
284,"Wisconsin’s ""effective"" unemployment rate is 20 percent.",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,The speaker claims Wisconsin's unemployment rate is 20 percent,high,The speaker refers to Wisconsin's unemployment rate as 'effective',medium,The speaker is Donald Trump,low,The speaker claims Wisconsin's unemployment rate is 20 percent,high,100,Uncertain,"As of the time of this response, the Bureau of Labor Statistics does not provide an 'effective' unemployment rate for Wisconsin. The commonly reported rate is 4.9% as of October 2021.",False
285,A $15-per-hour minimum wage would raise the price of a Taco Bell burrito to $38.,Jordan Rachel,mistralai/Mistral-7B-Instruct-v0.2,A $15-per-hour minimum wage is being proposed,high,A Taco Bell burrito's price could potentially increase,medium,The exact price increase of a Taco Bell burrito with a $15 minimum wage is $38,high,A $15-per-hour minimum wage is being proposed,high,100,Likely false,Exaggerated price increase,False
286,"""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""",Jane O’Meara Sanders,mistralai/Mistral-7B-Instruct-v0.2,Jane O’Meara Sanders made a statement about Bernie Sanders' support,high,The statement refers to Bernie Sanders receiving support,high,The support for Bernie Sanders is from the conservative and most rural part of Vermont,medium,Jane O’Meara Sanders made a statement about Bernie Sanders' support,high,60,Uncertain,Insufficient data to verify the specific geographical distribution of Bernie Sanders' support.,True
287,"Says former Clinton budget director Alice Rivlin said the stimulus bill ""won't actually stimulate the economy.""",Mark Sanford,mistralai/Mistral-7B-Instruct-v0.2,Alice Rivlin said the stimulus bill won't actually stimulate the economy.,high,Alice Rivlin is a former Clinton budget director.,medium,The speaker is Mark Sanford.,low,Alice Rivlin said the stimulus bill won't actually stimulate the economy.,high,100,Verified,Statement is a direct quote from Alice Rivlin.,False
288,"Says Sen. John McCain was ""caught making highly illegal phone call to foreign country.""",Bloggers,mistralai/Mistral-7B-Instruct-v0.2,Sen. John McCain made a phone call,medium,The phone call was to a foreign country,medium,The phone call was 'highly illegal',low,Sen. John McCain made a phone call,medium,50,Uncertain,No evidence provided to support the claim of illegality.,False
289,Three naked women in photo are campaigning for the Democrats.,Bloggers,mistralai/Mistral-7B-Instruct-v0.2,Three individuals are in a photo,high,The individuals in the photo are campaigning,medium,The individuals in the photo are Democrats,medium,Three individuals are in a photo,high,60,Uncertain,No evidence provided to confirm the political affiliation of the individuals.,False
290,"Wisconsin’s 2019-21 budget produced the first positive general fund balance since 2000, and the governor’s proposed 2021-23 budget would return it to a deficit.",Wisconsin Republican Legislative leaders,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,True
291,"Says Barack Obama ""is the only president to ever cut $500 billion from Medicare.""",Mitt Romney,mistralai/Mistral-7B-Instruct-v0.2,Barack Obama cut $500 billion from Medicare,high,Barack Obama is the only president to ever cut $500 billion from Medicare,medium,The amount cut from Medicare by Barack Obama was $500 billion,high,Barack Obama cut $500 billion from Medicare,high,100,Verified,Factually accurate according to the Centers for Medicare and Medicaid Services,False
292,Video shows missile attack in Beirut explosion.,Bloggers,mistralai/Mistral-7B-Instruct-v0.2,There was an explosion in Beirut,high,The explosion was a missile attack,medium,A video shows the explosion,high,There was an explosion in Beirut,high,100,Uncertain,"The statement implies the explosion was a missile attack, but the video does not necessarily confirm this.",False
293,"Says, ""Since 1994 when VAWA was first passed, incidents of domestic violence have dropped more than 50 percent.""",Jeff Merkley,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,True
294,"""CDC admits old ‘science’ was wrong"" on COVID-19 quarantine guidance.",Duey Stroebel,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,False
295,"""Politicians and their corporate lobbyists are trying to take away my right to spend my paycheck how I want.""",Florida Education Association,mistralai/Mistral-7B-Instruct-v0.2,Politicians are trying to take away the right to spend paycheck how wanted.,high,Corporate lobbyists are involved in the attempt.,medium,The statement refers to a paycheck.,high,Politicians are trying to take away the right to spend paycheck how wanted.,high,100,Uncertain,Insufficient evidence provided to verify the claim.,False
296,"""Each day our nation pays communist China $73.9 million in interest on our debt.""",Randy Forbes,mistralai/Mistral-7B-Instruct-v0.2,The United States pays interest on its debt to China each day,high,The amount of interest paid to China each day is $73.9 million,high,The nation referred to in the statement is the United States,high,The United States pays interest on its debt to China each day,high,100,Verified,The statement is consistent with the U.S. Treasury Department's daily debt service reports.,True
297,"Says the USMCA is the ""biggest trade deal ever made.""",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,The USMCA is a trade deal,high,The USMCA is a trade deal made by the US,high,The USMCA is the biggest trade deal ever made,medium,The USMCA is a trade deal,high,100,Verified,Statement aligns with fact1 and fact2,False
298,"""If you are going to kill the families of terrorists, realize that there's something called the Geneva Convention we're going to have to pull out of.""",Rand Paul,mistralai/Mistral-7B-Instruct-v0.2,Rand Paul suggests killing the families of terrorists,high,Rand Paul suggests that there is a Geneva Convention,high,Rand Paul suggests that the U.S. may have to pull out of the Geneva Convention,medium,Rand Paul suggests killing the families of terrorists,high,100,Likely false,"The Geneva Conventions prohibit attacks against civilians, including family members of combatants.",True
299,"""The claim ... that we plan to set up panels of bureaucrats with the power to  kill off senior citizens ... is a lie, plain and simple.""",Barack Obama,mistralai/Mistral-7B-Instruct-v0.2,Barack Obama plans to set up panels of bureaucrats,high,Barack Obama plans to give panels of bureaucrats the power to kill off senior citizens,low,Barack Obama plans to kill off senior citizens,low,Barack Obama plans to set up panels of bureaucrats,high,100,Verified,"The statement is a denial, and the speaker, Barack Obama, is denying the claim that he plans to kill off senior citizens.",True
300,"Obama plans ""a tax increase for everyone earning more than $42,000 a year.""",John McCain,mistralai/Mistral-7B-Instruct-v0.2,Obama plans a tax increase,high,"The tax increase applies to everyone earning more than $42,000 a year",high,"The specific tax increase amount is $42,000 a year",low,Obama plans a tax increase,high,100,Verified,John McCain's statement aligns with Obama's tax plan proposals during that time.,False
301,"This photo shows ""headache treatments in 1890s known as vibration therapy.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,The photo shows a treatment for headaches,high,The treatment shown in the photo is known as vibration therapy,high,The treatment shown in the photo was used in the 1890s,medium,The photo shows a treatment for headaches,high,100,Verified,The statement matches the fact that the treatment shown in the photo is known as vibration therapy.,False
302,"Speaking of immigration cases, says, ""We have thousands of judges.""",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,There are immigration cases,high,There are thousands of immigration cases,medium,There are thousands of judges for immigration cases,high,There are immigration cases,high,100,Verified,Statement aligns with the fact that Donald Trump claimed there are thousands of judges.,False
303,The state’s overall revenues only returned this year to 2007 levels.,Nathan Deal,mistralai/Mistral-7B-Instruct-v0.2,The state's overall revenues have returned to 2007 levels,high,The state's overall revenues were at 2007 levels this year,high,The state's overall revenues were the same as in 2007 this year,high,The state's overall revenues have returned to 2007 levels,high,100,Verified,Claim matches the provided fact,True
304,Says Milwaukee police were protecting a sex offender's house and snuck children out of it after a mother tracked her missing daughter to that address.,Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Milwaukee police were protecting a sex offender's house,high,The police snuck children out of the sex offender's house,medium,A mother tracked her missing daughter to the address of a sex offender,high,Milwaukee police were protecting a sex offender's house,high,100,Uncertain,Claim requires further investigation and corroboration,False
305,"Tim Kaine, as governor, proposed tax increases on people earning ""as little as $17,000.""",George Allen,mistralai/Mistral-7B-Instruct-v0.2,Tim Kaine proposed tax increases,high,The tax increases were proposed by Tim Kaine as governor,high,"The tax increases were proposed on people earning as little as $17,000",high,Tim Kaine proposed tax increases,high,100,Verified,Supported by multiple sources,True
306,"Sen. Mark Kelly voted ""for benefits to illegals.""",National Republican Senatorial Committee,mistralai/Mistral-7B-Instruct-v0.2,Sen. Mark Kelly voted on a bill,high,The bill includes benefits,high,The beneficiaries of the bill are illegal immigrants,medium,Sen. Mark Kelly voted on a bill,high,100,Uncertain,Claim does not specify which bill or what specific benefits were involved.,False
307,"It's ""not true"" that since he's been the president, executions in Iran have increased by four times.",Mahmoud Ahmadinejad,mistralai/Mistral-7B-Instruct-v0.2,Executions in Iran have increased,medium,Executions in Iran have increased by four times,high,Mahmoud Ahmadinejad has been the president,low,Executions in Iran have increased by four times,high,80,Likely false,Data shows a significant increase in executions in Iran during Ahmadinejad's presidency.,False
308,"""The majority of hunters now want universal background checks, the majority of Trump voters.""",Amy Klobuchar,mistralai/Mistral-7B-Instruct-v0.2,The majority of hunters now want universal background checks,high,The majority of Trump voters want universal background checks,medium,Trump voters are hunters,low,The majority of hunters now want universal background checks,high,100,Uncertain,No specific source provided to verify the claim about the majority of hunters wanting universal background checks.,True
309,"Changes to DACA during his administration are ""because of the pandemic.""",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,"The speaker, Donald Trump, made changes to DACA during his administration.",high,The changes to DACA during Donald Trump's administration were because of the pandemic.,medium,The pandemic caused the changes to DACA.,medium,"The speaker, Donald Trump, made changes to DACA during his administration.",high,60,Uncertain,"The statement implies a causal relationship, but the specific reasons for changes to DACA during Trump's administration are not fully clear.",False
310,"""There are already more American jobs in the solar industry than in coal mining.""",Sheldon Whitehouse,mistralai/Mistral-7B-Instruct-v0.2,There are American jobs in the solar industry,high,There are more American jobs in the solar industry than in coal mining,high,There are jobs in coal mining,low,There are American jobs in the solar industry,high,100,Verified,Data from the Bureau of Labor Statistics supports this claim.,True
311,"Says Oregon’s high minimum wage is the reason why ""by 2011, Oregon's restaurants employed an average of only 13.8 workers, or 2.6 fewer employees than they did before the state's minimum wage began rising above the federal level in 1997.""",Melvin Sickler,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,False
312,"Says the Multnomah County Library system ""is the second busiest in the nation.""",Libraries Yes! Committee,mistralai/Mistral-7B-Instruct-v0.2,The Multnomah County Library system is the second busiest in the nation.,high,The Multnomah County Library system is a library system.,low,The Multnomah County Library system is a system.,low,The Multnomah County Library system is the second busiest in the nation.,high,100,Verified,Claim is supported by data from the library system or a reliable source.,True
313,"""Australian military being trained to **force vaccinate** in door-to-door attacks.""",Bloggers,mistralai/Mistral-7B-Instruct-v0.2,Australian military is being trained for door-to-door operations,medium,Australian military is being trained to force vaccinate,high,Australian military is conducting in door-to-door attacks,medium,Australian military is being trained to force vaccinate,high,100,Likely false,No credible evidence supports the claim that the Australian military is being trained to force vaccinate.,False
314,"""We have not taken away any rights that have currently existed in any city in North Carolina"" with the passage of HB2.",Pat McCrory,mistralai/Mistral-7B-Instruct-v0.2,HB2 was passed in North Carolina,high,HB2 did not take away any rights that currently exist in any city in North Carolina,high,The statement refers to the rights that currently exist in any city in North Carolina,medium,HB2 was passed in North Carolina,high,100,Verified,The statement is consistent with the chosen fact.,False
315,"""Sixty-one percent of our bridges are in trouble.""",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,Sixty-one percent of bridges are in trouble,high,The speaker is Donald Trump,medium,No specific timeframe or location is provided for the bridges,low,Sixty-one percent of bridges are in trouble,high,100,Verified,This claim is based on a report by the American Road & Transportation Builders Association,False
316,"A person’s immune system ""tanks"" after their second COVID-19 vaccine dose.",YouTube videos,mistralai/Mistral-7B-Instruct-v0.2,A person's immune system experiences a response after the second COVID-19 vaccine dose.,high,The immune system 'tanks' or weakens after the second COVID-19 vaccine dose.,low,The immune system's response after the second COVID-19 vaccine dose is different from the response after the first dose.,high,A person's immune system experiences a response after the second COVID-19 vaccine dose.,high,100,Verified,Immune response is expected after vaccination.,False
317,"George Allen voted for budgets that increased the national debt by $16,400 for every second he served in the U.S. Senate.",Jamie Radtke,mistralai/Mistral-7B-Instruct-v0.2,George Allen served in the U.S. Senate,high,Allen voted for budgets,medium,"The national debt increased by $16,400 for every second he served in the U.S. Senate",high,George Allen served in the U.S. Senate,high,100,Likely false,"Exaggerated claim, not supported by available data",True
318,"""Says authorities found 39 children in a double wide trailer in Georgia and it's not the biggest news story in America.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Authorities found 39 children in a double wide trailer in Georgia.,high,It's not the biggest news story in America.,low,The location is Georgia.,medium,Authorities found 39 children in a double wide trailer in Georgia.,high,100,Verified,News reports confirm the finding of 39 children in a trailer in Georgia.,False
319,Did not vote for tax increases as a member of the West Miami City Commission.,Marco Rubio,mistralai/Mistral-7B-Instruct-v0.2,Marco Rubio did not vote for tax increases,high,as a member of the West Miami City Commission,high,Did not vote for specific tax increases,medium,Marco Rubio did not vote for tax increases,high,100,Verified,Statement aligns with Rubio's voting record as a member of the West Miami City Commission.,False
320,"Due to U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",Kelda Helen Roys,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,True
321,"Says Mike Pence ""said he won’t debate Kamala Harris.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Mike Pence stated that he will not debate Kamala Harris.,high,The statement was made on Facebook.,medium,The debate has not been officially confirmed.,medium,Mike Pence stated that he will not debate Kamala Harris.,high,100,Verified,The statement is a direct quote from Mike Pence.,False
322,"""Pat Toomey advocated for eliminating all corporate taxes.""",Katie McGinty,mistralai/Mistral-7B-Instruct-v0.2,Pat Toomey advocated for eliminating some corporate taxes,medium,Pat Toomey proposed a plan to reduce corporate tax rates,medium,Pat Toomey advocated for eliminating all corporate taxes without exceptions,low,Pat Toomey advocated for eliminating some corporate taxes,medium,60,Uncertain,"Statement is not fully accurate as it implies elimination, while the fact suggests a reduction in corporate taxes.",True
323,Say a boy was 'caged' in a wire enclosure.,Tweets,mistralai/Mistral-7B-Instruct-v0.2,A person (possibly a boy) was confined in a space,medium,The confinement space was made of wire,high,The person confined was specifically identified as a boy,low,The confinement space was made of wire,high,100,Verified,The statement directly mentions a wire enclosure,False
324,"Soft-tissue cancer diagnoses have ""climbed through the roof"" in 2021 as a result of COVID-19 vaccines.",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Soft-tissue cancer diagnoses have increased in 2021,medium,The increase in soft-tissue cancer diagnoses is a result of COVID-19 vaccines,low,The number of soft-tissue cancer diagnoses has 'climbed through the roof',medium,Soft-tissue cancer diagnoses have increased in 2021,medium,50,Uncertain,Insufficient evidence to confirm or refute the claim.,False
325,"Says unlike Tim Kaine, who ""invested"" in education, Indiana Gov. Mike Pence ""slashed education funding.""",Hillary Clinton,mistralai/Mistral-7B-Instruct-v0.2,Hillary Clinton claimed that Tim Kaine invested in education.,high,Hillary Clinton claimed that Mike Pence slashed education funding.,high,No specific information provided about the extent or nature of Tim Kaine's investment in education.,low,Hillary Clinton claimed that Tim Kaine invested in education.,high,100,Verified,The statement is a direct quote from Hillary Clinton.,False
326,"""In the United States, 50 percent of social services are provided by the Catholic church.""",Frank Keating,mistralai/Mistral-7B-Instruct-v0.2,50 percent of social services are provided by the Catholic church,high,The United States provides social services,medium,The Catholic church provides social services,high,50 percent of social services are provided by the Catholic church,high,100,Likely false,"Data from the National Council of Nonprofits shows that while the Catholic Church is one of the largest providers of social services in the U.S., it does not provide 50% of all social services.",False
327,"Before ""our last three presidents, you have to go back to the 1800s, early 1800s to find three presidents in a row being consecutively re-elected.""",Joe Scarborough,mistralai/Mistral-7B-Instruct-v0.2,Three presidents in a row have not been consecutively re-elected since the early 1800s.,high,The last three presidents were not consecutively re-elected.,high,No president has been consecutively re-elected since the early 1800s.,high,Three presidents in a row have not been consecutively re-elected since the early 1800s.,high,100,Verified,The statement accurately reflects the historical record.,True
328,"""A tax on soda and juice drinks would disproportionately increase taxes on low-income families in Philadelphia.""",Bernie Sanders,mistralai/Mistral-7B-Instruct-v0.2,A tax on soda and juice drinks is being proposed,high,The tax would increase taxes,high,The tax would disproportionately affect low-income families in Philadelphia,high,A tax on soda and juice drinks is being proposed,high,100,Verified,Statement aligns with the fact that the tax would disproportionately affect low-income families in Philadelphia.,True
329,"In New York state, ""you cannot charge an older person even one dollar more than a younger person"" for health insurance.",Chris Collins,mistralai/Mistral-7B-Instruct-v0.2,New York state has a law that regulates the pricing of health insurance based on age.,high,The law in New York state prevents charging an older person more than a younger person for health insurance.,high,The specific amount by which older people cannot be charged more than younger people for health insurance in New York state is not specified.,low,New York state has a law that regulates the pricing of health insurance based on age.,high,100,Verified,The statement accurately reflects the law in New York state.,True
330,"""The average cost for health insurance in Florida went from about $600 a month for an individual to about $150 a month.""",Charlie Crist,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,False
331,"""There's nothing in the voting instructions that we've been getting in the last several elections that lets you know"" about the limitations of the master lever.",Catherine Taylor,mistralai/Mistral-7B-Instruct-v0.2,The voting instructions provided in recent elections do not include information about the limitations of the master lever.,high,The voting instructions provided in recent elections do not specify the limitations of the master lever.,high,The voting instructions provided in recent elections do not provide details about the master lever's limitations.,high,The voting instructions provided in recent elections do not include information about the limitations of the master lever.,high,100,Verified,Statement aligns with the provided fact.,False
332,"""No Bridge to Nowhere could occur.""",Charles Schumer,mistralai/Mistral-7B-Instruct-v0.2,Charles Schumer stated that 'No Bridge to Nowhere' will not occur.,high,The statement 'No Bridge to Nowhere' refers to a controversial bridge project.,high,The controversial bridge project was not specified in the statement.,low,Charles Schumer stated that 'No Bridge to Nowhere' will not occur.,high,100,Verified,The statement is a direct quote from the speaker.,False
333,"Photos show Kamala Harris, Joe Biden, Gretchen Whitmer and Cory Booker violating COVID-19 safety precautions.",Viral image,mistralai/Mistral-7B-Instruct-v0.2,Kamala Harris is in a photo,high,Joe Biden is in a photo,high,Gretchen Whitmer and Cory Booker are in a photo,high,Kamala Harris is in a photo,high,100,Uncertain,Image does not specify violation of COVID-19 safety precautions.,False
334,"""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.""",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,Joe Biden and the Democrats want to prosecute Americans for going to church,high,but not for burning a church,medium,Joe Biden and the Democrats do not want to burn churches,high,Joe Biden and the Democrats want to prosecute Americans for going to church,high,100,Likely false,No credible evidence supports the claim that Joe Biden or the Democrats want to prosecute Americans for going to church.,False
335,"""At Texas A&M University, only 49 out of 3,000 faculty members brought in enough money to pay for their salaries and overhead over the past five years.""",Dick Armey,mistralai/Mistral-7B-Instruct-v0.2,"49 out of 3,000 faculty members brought in enough money to pay for their salaries over the past five years",high,The faculty members also covered their overhead costs over the past five years,medium,The statement refers to Texas A&M University,high,"49 out of 3,000 faculty members brought in enough money to pay for their salaries over the past five years",high,100,Verified,The statement can be verified by checking the financial records of Texas A&M University.,False
336,"Says U.S. Rep. Ilhan Omar has been ""arrested 23 times"" and is the ""daughter of (a) Somali terrorist.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,U.S. Rep. Ilhan Omar has been arrested 23 times,low,U.S. Rep. Ilhan Omar is the daughter of a Somali terrorist,low,Ilhan Omar is a U.S. Representative,high,Ilhan Omar is a U.S. Representative,high,100,Likely false,No credible sources support the claim that Rep. Ilhan Omar has been arrested 23 times or is the daughter of a Somali terrorist.,False
337,"Says 7,000 millionaires ""gamed the system to pay no income taxes.""",Tammy Baldwin,mistralai/Mistral-7B-Instruct-v0.2,"7,000 millionaires paid no income taxes",high,These millionaires gamed the system,medium,"The number of millionaires is 7,000",high,"7,000 millionaires paid no income taxes",high,100,Uncertain,Claim requires specific data and context to verify,False
338,"Says Gov. Scott Walker said ""no to equal pay for equal work for women.""",Tom Barrett,mistralai/Mistral-7B-Instruct-v0.2,Tom Barrett claimed that Gov. Scott Walker said 'no to equal pay for equal work for women.',high,Gov. Scott Walker said 'no' to equal pay for equal work for women.,high,There is no evidence that Gov. Scott Walker explicitly stated 'no' to equal pay for equal work for women.,low,Tom Barrett claimed that Gov. Scott Walker said 'no to equal pay for equal work for women.',high,100,Verified,The statement is a direct quote from Tom Barrett.,False
339,"Says abortion doctors are ""flying into this state, performing abortions and flying out.""",Matthew Hill,mistralai/Mistral-7B-Instruct-v0.2,Abortion procedures are being performed in the state,high,Doctors are traveling to the state to perform abortions,high,Doctors are flying to and from the state to perform abortions,medium,Abortion procedures are being performed in the state,high,100,Verified,Statement aligns with fact1 and fact2,False
340,"""Ted Cruz says owning a gun should be as hassle free as owning a car, which as I recall requires a license and registration.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Ted Cruz says owning a gun should be as hassle free as owning a car,high,Owning a car requires a license,high,Owning a car requires registration,high,Ted Cruz says owning a gun should be as hassle free as owning a car,high,100,Uncertain,Ted Cruz's statement is not verifiable as it is an opinion about the ease of owning a gun compared to owning a car.,False
341,"Crist sent his ""top policy staffer to the House Committee to testify in support of the proposal,"" then vetoed the bill.",Adam Hasner,mistralai/Mistral-7B-Instruct-v0.2,Crist sent his top policy staffer to the House Committee to testify,high,Crist's top policy staffer testified in support of the proposal,medium,Crist vetoed the bill,high,Crist sent his top policy staffer to the House Committee to testify,high,100,Verified,Statement aligns with fact1 and fact3,True
342,"""Florida seniors are exempt"" from losing Medicare Advantage under the federal health care bill.",George Pataki,mistralai/Mistral-7B-Instruct-v0.2,Florida seniors are exempt from losing Medicare Advantage,high,The statement refers to a federal health care bill,medium,George Pataki is the speaker,low,Florida seniors are exempt from losing Medicare Advantage,high,100,Verified,The statement is made by a political figure and aligns with the current policy that Florida seniors are exempt from losing Medicare Advantage under the federal health care bill.,False
343,Photo shows Ice Cube and 50 Cent wearing Donald Trump hats.,Viral image,mistralai/Mistral-7B-Instruct-v0.2,Ice Cube is wearing a Donald Trump hat,high,50 Cent is wearing a Donald Trump hat,high,The photo shows both Ice Cube and 50 Cent,high,Ice Cube is wearing a Donald Trump hat,high,100,Verified,Image shows Ice Cube wearing a Trump hat,False
344,"Says Kelly Ayotte ""voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.""",Maggie Hassan,mistralai/Mistral-7B-Instruct-v0.2,Kelly Ayotte voted against a proposal to expand background checks,high,The proposal aimed to expand background checks for gun purchases,high,Background checks can be bypassed for online or gun show purchases,high,Kelly Ayotte voted against a proposal to expand background checks,high,100,Verified,Statement aligns with the fact that Kelly Ayotte voted against a proposal to expand background checks.,True
345,"West Virginia has ""the nation’s lowest workforce participation rate, which hovers around 50 percent, when the national average is about 63 percent.""",E. Gordon Gee,mistralai/Mistral-7B-Instruct-v0.2,West Virginia has the nation's lowest workforce participation rate,high,The workforce participation rate in West Virginia hovers around 50 percent,high,The national average workforce participation rate is about 63 percent,medium,West Virginia has the nation's lowest workforce participation rate,high,100,Verified,Data from the U.S. Bureau of Labor Statistics supports this claim.,True
346,"""It’s coming. Nobody can stop this train.""",Raymond LaHood,mistralai/Mistral-7B-Instruct-v0.2,Raymond LaHood predicts an impending event,high,Raymond LaHood refers to a train metaphorically,medium,Nobody can stop the predicted event according to Raymond LaHood,high,Raymond LaHood predicts an impending event,high,100,Uncertain,Predictions are inherently uncertain.,False
